;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
516,500;0,40999;564,500;0,14615;466,500;0,75226;
517,000;0,40619;565,000;0,14298;467,000;0,74977;
517,500;0,40238;565,500;0,13986;467,500;0,74737;
518,000;0,39854;566,000;0,13684;468,000;0,74525;
518,500;0,39473;566,500;0,13397;468,500;0,74344;
519,000;0,39099;567,000;0,13127;469,000;0,74183;
519,500;0,38726;567,500;0,12871;469,500;0,74028;
520,000;0,3835;568,000;0,12627;470,000;0,73865;
520,500;0,37966;568,500;0,12397;470,500;0,73687;
521,000;0,3758;569,000;0,12178;471,000;0,73492;
521,500;0,37193;569,500;0,11962;471,500;0,73282;
522,000;0,36807;570,000;0,11746;472,000;0,73052;
522,500;0,36423;570,500;0,1153;472,500;0,72783;
523,000;0,36043;571,000;0,11319;473,000;0,72463;
523,500;0,35664;571,500;0,11118;473,500;0,72096;
524,000;0,35287;572,000;0,1093;474,000;0,71703;
524,500;0,34912;572,500;0,10756;474,500;0,71305;
525,000;0,34545;573,000;0,10583;475,000;0,70913;
525,500;0,34197;573,500;0,10397;475,500;0,70516;
526,000;0,33871;574,000;0,10195;476,000;0,70101;
526,500;0,3355;574,500;0,099856;476,500;0,69664;
527,000;0,33206;575,000;0,097881;477,000;0,6923;
527,500;0,32831;575,500;0,096144;477,500;0,68829;
528,000;0,32437;576,000;0,094578;478,000;0,6848;
528,500;0,32045;576,500;0,092962;478,500;0,68178;
529,000;0,31657;577,000;0,091123;479,000;0,67903;
529,500;0,31267;577,500;0,089113;479,500;0,67638;
530,000;0,30873;578,000;0,087154;480,000;0,67383;
530,500;0,30488;578,500;0,085409;480,500;0,67149;
531,000;0,3012;579,000;0,08383;481,000;0,66949;
531,500;0,29763;579,500;0,082266;481,500;0,66782;
532,000;0,29406;580,000;0,080657;482,000;0,66627;
532,500;0,29046;580,500;0,079099;482,500;0,66458;
533,000;0,28686;581,000;0,077731;483,000;0,66268;
533,500;0,28323;581,500;0,076581;483,500;0,66073;
534,000;0,27956;582,000;0,075531;484,000;0,65894;
534,500;0,27581;582,500;0,074423;484,500;0,65732;
535,000;0,27204;583,000;0,073215;485,000;0,6557;
535,500;0,26834;583,500;0,071994;485,500;0,65385;
536,000;0,26479;584,000;0,070857;486,000;0,65168;
536,500;0,26135;584,500;0,069797;486,500;0,64921;
537,000;0,25776;585,000;0,068738;487,000;0,64656;
537,500;0,25384;585,500;0,067628;487,500;0,64378;
538,000;0,24965;586,000;0,06648;488,000;0,64085;
538,500;0,24554;586,500;0,065322;488,500;0,63768;
539,000;0,24179;587,000;0,064138;489,000;0,63423;
539,500;0,23839;587,500;0,062865;489,500;0,63054;
540,000;0,23508;588,000;0,061477;490,000;0,62672;
540,500;0,23162;588,500;0,060025;490,500;0,6228;
541,000;0,2279;589,000;0,058645;491,000;0,61874;
541,500;0,22396;589,500;0,057453;491,500;0,61449;
542,000;0,21984;590,000;0,05645;492,000;0,61009;
542,500;0,21565;590,500;0,055525;492,500;0,60562;
543,000;0,21148;591,000;0,054574;493,000;0,60121;
543,500;0,20744;591,500;0,053576;493,500;0,59695;
544,000;0,20353;592,000;0,052539;494,000;0,59291;
544,500;0,19963;592,500;0,051449;494,500;0,58914;
545,000;0,19569;593,000;0,050286;495,000;0,58561;
545,500;0,19176;593,500;0,049055;495,500;0,58218;
546,000;0,18784;594,000;0,047836;496,000;0,57864;
546,500;0,18386;594,500;0,046728;496,500;0,57484;
547,000;0,17981;595,000;0,045754;497,000;0,57077;
547,500;0,17578;595,500;0,044848;497,500;0,56657;
548,000;0,17187;596,000;0,043954;498,000;0,56249;
548,500;0,16805;596,500;0,043092;498,500;0,55867;
549,000;0,16426;597,000;0,042296;499,000;0,55512;
549,500;0,16049;597,500;0,041536;499,500;0,55167;
550,000;0,15679;598,000;0,04075;500,000;0,54815;
550,500;0,1532;598,500;0,039904;500,500;0,54448;
